NAME,SCREENTIME,EPISODE,FAMILY
Aeron Greyjoy,3.45,2,Greyjoy
Alliser Thorne,26,19,Thorne
Alton Lannister,8,3,Lannister
Amory Lorch,3.3,4,Lorch
Anguy,5,6,
Areo Hotah,3.45,5,Hotah
Armeca,5.15,3,
Arya Stark,189.15,47,Stark
Balon Greyjoy,12.15,4,Greyjoy
Barristan Selmy,37.15,25,Selmy
Benjen Stark,12,7,Stark
Beric Dondarrion,11.15,6,Dondarrion
Biter,1.15,5,
Black Walder Rivers,4.45,7,Walder Rivers
Bowen Marsh,3.3,9,Marsh
Bran Stark,86,30,Stark
Brienne of Tarth,89.3,32,
Bronn,64,29,
Brother Ray,6.3,unspecified,Ray
Brynden 'Blackfish' Tully,16,7,Tully
Catelyn Stark,82.45,26,Stark
Cersei Lannister,201.45,52,Lannister
Craster,6.3,5,
Daario Naharis,46,21,Naharis
Daenerys Targaryen,221.3,49,Targaryen
Dagmer Cleftjaw,5.15,5,Cleftjaw
Daisy,2.3,3,
Davos Seaworth,89.3,29,Seaworth
Doran Martell,7.3,5,Martell
Doreah,12.3,11,
Eddard 'Ned' Stark,99.45,16,Stark
Eddison Tollett,29.15,29,Tollett
Edmure Tully,17.45,8,Tully
Ellaria Sand,18.3,11,Sand
Euron Greyjoy,6.3,2,Greyjoy
Gared,2.3,unspecified,
Gendry,28.45,17,
Gilly,52,21,
Grand Maester Pycelle,35.15,31,Maester Pycelle
Greatjon Umber,5,3,Umber
Gregor Clegane,17.15,14,Clegane
Grenn,21.15,22,
Grey Worm,32.15,24,Worm
Hallyne,3,2,
High Priestess,3,2,Priestess
High Sparrow,37.3,12,Sparrow
Hizdahr zo Loraq,11.45,8,zo Loraq
Hodor,29,23,
Hot Pie,12.45,10,
Hugh of the Vale,1.45,2,
Illyrio Mopatis,3.3,2,Mopatis
Ilyn Payne,2.15,4,Payne
Irri,10,13,
Izembaro,2.45,3,
Jaime Lannister,162.3,43,Lannister
Janos Slynt,14.15,15,Slynt
Jaqen H'ghar,26.3,18,H'ghar
Jeor Mormont,21,12,Mormont
Joffrey Baratheon,70.15,26,Baratheon
Jojen Reed,19,10,Reed
Jon Snow,268.15,49,Snow
Jorah Mormont,117.3,42,Mormont
Jory Cassel,6.15,5,Cassel
Joyeuse Erenford,2.45,2,Erenford
Karl Tanner,11.15,4,Tanner
Karsi,5.15,unspecified,
Kevan Lannister,8.3,11,Lannister
Khal Drogo,25,10,Drogo
Khal Moro,5.15,3,Moro
Kinvara,2.3,unspecified,
Kovarro,3.15,6,
Kraznys mo Nakloz,5.45,3,mo Nakloz
Lady Crane,10,3,Crane
Lancel Lannister,18.3,17,Lannister
Leaf,4.15,4,
Lhara,1.15,3,
Loboda,3.45,unspecified,
Locke,13,8,
Lollys Stokeworth,1.45,unspecified,Stokeworth
Lommy Greenhands,2.45,4,Greenhands
Loras Tyrell,33,20,Tyrell
Lord Varys,81.45,36,Varys
Lothar Frey,5,7,Frey
Lyanna Mormont,4.3,3,Mormont
Lysa Arryn,16.3,5,Arryn
Mace Tyrell,11.3,13,Tyrell
Maester Aemon,19,11,Aemon
Maester Cressen,3.15,unspecified,Cressen
Maester Luwin,23.3,13,Luwin
Malko,4,2,
Mance Rayder,21,5,Rayder
Marei,3,6,
Margaery Tyrell,78,26,Tyrell
Marillion,3,4,
Matthos Seaworth,6.3,3,Seaworth
Meera Reed,27,13,Reed
Melessa Tarly,3.3,unspecified,Tarly
Melisandre,65.45,26,
Mero,3,unspecified,
Meryn Trant,16,18,Trant
Mhaegen,1.15,2,
Mirri Maz Duur,7.3,3,Maz Duur
Missandei,45.45,29,
Mord,2.45,2,
Mossador,4.3,3,
Myranda,13,8,
Myrcella Baratheon,11.45,12,Baratheon
Nymeria Sand,7,7,Sand
Obara Sand,6.45,7,Sand
Oberyn Martell,28.3,7,Martell
Old Nan,2.45,4,Nan
Olenna Tyrell,38.15,16,Tyrell
Olly,12.3,17,
Olyvar,8.15,6,
Orell,9,6,
Osha,29.45,16,
Othell Yarwyck,6.15,13,Yarwyck
Petyr 'Littlefinger' Baelish,102.15,35,Baelish
Podrick Payne,41.15,26,Payne
Polliver,6,2,
Pyat Pree,4.3,3,Pree
Pypar,12,13,
Qhorin Halfhand,9.3,4,Halfhand
Qotho,5.15,6,
Quaithe,1.45,2,
Qyburn,19.15,14,
Rakharo,8.45,8,
Ramsay Bolton,66,20,Bolton
Randyll Tarly,4,unspecified,Tarly
Rast,12.45,12,
Rattleshirt,5.15,4,
Razdal mo Eraz,6.45,3,mo Eraz
Renly Baratheon,24,8,Baratheon
Rickard Karstark,5.15,6,Karstark
Rickon Stark,12.45,14,Stark
Robb Stark,77.45,21,Stark
Robert Baratheon,30.3,7,Baratheon
Robett Glover,3,unspecified,Glover
Robin Arryn,11.15,8,Arryn
Rodrik Cassel,12.45,15,Cassel
Roose Bolton,30.15,19,Bolton
Rorge,1.45,4,
Ros,21.45,14,
Roslin Frey,2.15,unspecified,Frey
Salladhor Saan,6.15,3,Saan
Samwell Tarly,121.45,37,Tarly
Sandor 'The Hound' Clegane,72.45,29,Clegane
Sansa Stark,199.3,47,Stark
Selyse Baratheon,11,11,Baratheon
Septa Mordane,6,6,Mordane
Septa Unella,12.3,8,Unella
Ser Dontos Hollard,4.45,4,Dontos Hollard
Shae,47.15,20,
Shagga,5,2,
Shireen Baratheon,18.15,10,Baratheon
Smalljon Umber,3.3,2,Umber
Spice King,5.3,3,King
Stannis Baratheon,73.15,24,Baratheon
Styr,5.3,4,
Syrio Forel,7.15,3,Forel
Talisa Maegyr,30.45,12,Maegyr
Talla Tarly,2.3,unspecified,Tarly
Ternesio Terys,2,2,Terys
The Night's King,5.3,5,Night's King
Theon Greyjoy,123.3,39,Greyjoy
Thoros of Myr,15,7,
Three-Eyed Raven,8,9,Raven
Tickler,1.45,2,
Tobho Mott,1.15,2,Mott
Tommen Baratheon,43.15,24,Baratheon
Tormund Giantsbane,41.45,24,Giantsbane
Trystane Martell,3.45,5,Martell
Tycho Nestoris,3.15,2,Nestoris
Tyene Sand,8.3,7,Sand
Tyrion Lannister,293.3,54,Lannister
Tywin Lannister,78.15,27,Lannister
Vala,5,3,
Vardis Egen,3,2,Egen
Viserys Targaryen,20.3,6,Targaryen
Waif,12.45,11,
Walda Bolton,4,5,Bolton
Walder Frey,15.45,5,Frey
Waymar Royce,2.45,unspecified,Royce
Will,6.15,unspecified,
Wun Wun,7.3,5,Wun
Xaro Xhoan Daxos,10.3,5,Daxos
Yara Greyjoy,27,12,Greyjoy
Yezzan zo Qaggaz,7.45,4,zo Qaggaz
Ygritte,51,17,
Yohn Royce,5.45,4,Royce
Yoren,12,7,
